SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,MISTEM_NAME,MISTEM_CODE,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,PREKINDERGARTEN_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,UNGRADED_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
22 - 23 School Year,,Statewide,,All Districts,,All Buildings,,,State,,,,,1437279,738051,699228,8448,50942,260538,127604,1208,914885,73654,13868,46170,113864,103025,99693,101749,101014,101668,102974,102730,104594,117080,116460,108807,110231,7220,775404,199762,94540
22 - 23 School Year,3,Allegan Area Educational Service Agency,,All Districts,,All Buildings,3,Allegan,ISD,Elem thru High School,Town: Distant,Greater West Michigan Region,8,13630,6970,6660,64,75,167,1419,6,11332,567,117,0,1185,941,947,995,935,994,995,999,1076,1106,1203,1061,1116,77,6702,1577,486
22 - 23 School Year,4,Alpena-Montmorency-Alcona ESD,,All Districts,,All Buildings,4,Alpena,ISD,Elem thru High School,Rural: Fringe,NEMi Region (Northeast Michigan) Region,12,5078,2571,2507,15,15,31,137,3,4678,199,213,0,434,391,373,361,359,356,381,366,406,439,413,375,408,16,3153,723,<10
22 - 23 School Year,8,Barry ISD,,All Districts,,All Buildings,8,Barry,ISD,Elem thru High School,Town: Distant,Southwest Region,1,3670,1834,1836,13,5,24,144,5,3357,122,7,0,329,261,254,258,272,281,251,284,270,293,302,289,316,10,2013,599,34
22 - 23 School Year,9,Bay-Arenac ISD,,All Districts,,All Buildings,9,Bay,ISD,Elem thru High School,Suburb: Small,East Central Michigan Region,10,14727,7603,7124,59,62,360,1256,6,12178,806,148,0,1221,990,984,995,966,1011,1073,1093,1163,1477,1368,1204,1119,63,8537,2085,128
22 - 23 School Year,11,Berrien RESA,,All Districts,,All Buildings,11,Berrien,ISD,Elem thru High School,Rural: Fringe,Southwest Region,1,24646,12494,12152,156,436,4407,2766,46,15424,1411,189,0,1885,1623,1583,1626,1676,1602,1637,1679,1699,2661,2558,2341,1975,101,14787,3157,1431
22 - 23 School Year,12,Branch ISD,,All Districts,,All Buildings,12,Branch,ISD,Elem thru High School,Town: Distant,Southwest Region,1,5595,2882,2713,8,38,50,669,0,4705,125,171,0,463,373,383,413,407,367,412,453,437,451,487,434,494,21,3378,820,882
22 - 23 School Year,72,C.O.O.R. ISD,,All Districts,,All Buildings,72,Roscommon,ISD,Elem thru High School,Rural: Distant,NEMi Region (Northeast Michigan) Region,12,7246,3776,3470,36,22,46,169,9,6769,195,75,0,555,497,543,497,511,567,521,539,579,655,641,584,521,36,4946,1035,13
22 - 23 School Year,13,Calhoun Intermediate School District,,All Districts,,All Buildings,13,Calhoun,ISD,Elem thru High School,Suburb: Small,Southwest Region,1,21657,11206,10451,87,635,2969,1830,31,14049,2056,81,0,1764,1693,1533,1616,1558,1632,1534,1575,1608,1723,1881,1650,1806,84,13241,3572,835
22 - 23 School Year,15,Charlevoix-Emmet ISD,,All Districts,,All Buildings,15,Charlevoix,ISD,Elem thru High School,Town: Remote,Northwestern Lower Michigan Region,13,7903,4089,3814,181,51,56,215,4,6904,492,100,0,570,554,538,560,530,573,623,593,616,672,700,664,697,13,3765,1146,50
22 - 23 School Year,16,Cheb-Otsego-Presque Isle ESD,,All Districts,,All Buildings,16,Cheboygan,ISD,Elem thru High School,Rural: Remote,NEMi Region (Northeast Michigan) Region,12,7453,3870,3583,62,32,52,183,8,6686,430,121,0,581,551,534,550,496,531,537,553,559,627,650,633,627,24,4559,872,11
22 - 23 School Year,18,Clare-Gladwin Regional Education Service District,,All Districts,,All Buildings,18,Clare,ISD,Elem thru High School,Rural: Distant,East Central Michigan Region,10,6466,3368,3098,22,7,26,236,7,5966,202,24,0,555,498,499,481,471,477,484,480,499,544,534,460,460,24,4110,1141,21
22 - 23 School Year,19,Clinton County RESA,,All Districts,,All Buildings,19,Clinton,ISD,Elem thru High School,Rural: Fringe,Mid-Michigan Region,7,10439,5287,5152,39,79,331,741,9,8795,445,35,0,857,695,633,666,658,714,704,775,777,888,983,979,1070,40,3790,1189,161
22 - 23 School Year,31,Copper Country ISD,,All Districts,,All Buildings,31,Houghton,ISD,Elem thru High School,Town: Remote,Western Upper Peninsula Region,16,6189,3186,3003,280,77,30,61,6,5537,198,242,0,546,435,460,426,440,462,448,466,489,460,514,468,567,8,2975,824,28
22 - 23 School Year,21,Delta-Schoolcraft ISD,,All Districts,,All Buildings,21,Delta,ISD,Elem thru High School,Town: Remote,906- Central Region,15,5990,3095,2895,579,19,35,103,5,4979,270,250,0,588,415,441,386,436,416,419,450,443,484,521,474,492,25,3148,878,<10
22 - 23 School Year,22,Dickinson-Iron ISD,,All Districts,,All Buildings,22,Dickinson,ISD,Elem thru High School,Town: Remote,906- Central Region,15,4966,2558,2408,17,22,17,167,4,4472,267,104,0,490,360,297,382,362,346,378,339,381,413,417,379,411,11,2532,829,23
22 - 23 School Year,17,Eastern Upper Peninsula ISD,,All Districts,,All Buildings,17,Chippewa,ISD,Elem thru High School,Rural: Distant,Eastern Upper Peninsula Region,14,6314,3284,3030,2233,41,92,97,5,3655,191,32,0,466,487,459,494,452,454,453,483,492,512,523,498,523,18,3685,1029,10
22 - 23 School Year,23,Eaton RESA,,All Districts,,All Buildings,23,Eaton,ISD,Elem thru High School,Rural: Fringe,Mid-Michigan Region,7,12497,6389,6108,27,252,480,1019,5,10061,653,167,0,1044,832,798,860,839,852,928,844,876,1134,1130,1106,1205,49,5364,1719,170
22 - 23 School Year,25,Genesee ISD,,All Districts,,All Buildings,25,Genesee,ISD,Elem thru High School,Suburb: Large,I-69 Region,6,59613,30701,28912,141,469,15273,3516,41,36190,3983,994,0,4998,4444,4198,4349,4344,4234,4464,4377,4490,5152,5205,4486,4570,302,37715,8523,857
22 - 23 School Year,27,Gogebic-Ontonagon ISD,,All Districts,,All Buildings,66,Ontonagon,ISD,Elem thru High School,Rural: Remote,Western Upper Peninsula Region,16,1974,1005,969,138,10,6,47,1,1684,88,19,0,150,156,139,136,136,136,147,143,138,186,194,157,147,9,1185,404,<10
22 - 23 School Year,29,Gratiot-Isabella RESD,,All Districts,,All Buildings,29,Gratiot,ISD,Elem thru High School,Town: Distant,East Central Michigan Region,10,11766,6102,5664,394,107,208,857,22,9651,527,39,0,1030,824,875,831,840,857,915,956,942,975,934,906,803,78,6633,2130,177
22 - 23 School Year,14,Heritage Southwest Intermediate School District,,All Districts,,All Buildings,14,Cass,ISD,Elem thru High School,Town: Fringe,Southwest Region,1,6142,3239,2903,45,19,274,547,3,4690,564,37,0,425,478,454,452,451,474,447,480,497,556,513,442,440,33,3404,992,190
